ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size (sq.ft),furnished,facilities,additional_facilities,region,facilities_count,additional_facilities_count
100323185,The Hipster @ Taman Desa,2022,4200,Kuala Lumpur - Taman Desa,Condominium,5,2,6,1842,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,10,3
100203973,Segar Courts,2017,2300,Kuala Lumpur - Cheras,Condominium,3,1,2,1170,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,9,3
100323128,Pangsapuri Teratak Muhibbah 2,2017,1000,Kuala Lumpur - Taman Desa,Apartment,3,0,2,650,Fully Furnished,"Minimart, Jogging Track, Lift, Swimming Pool",None,Kuala Lumpur,4,0
100191767,Sentul Point Suite Apartment,2020,1700,Kuala Lumpur - Sentul,Apartment,2,1,2,743,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,8,3
97022692,Arte Mont Kiara,2017,1299,Kuala Lumpur - Mont Kiara,Service Residence,1,1,1,494,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond,Kuala Lumpur,11,1
100322897,Residensi Vista Wirajaya,2017,1500,Kuala Lumpur - Setapak,Apartment,3,1,2,884,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,6,2
100322962,Sky Meridien,2017,2900,Kuala Lumpur - Sentul,Service Residence,3,2,2,982,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,10,4
100322885,Arte Plus Jalan Ampang,2018,1550,Kuala Lumpur - Ampang,Service Residence,1,1,1,700,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,7,4
100322866,Nova I,2014,1400,Kuala Lumpur - Segambut,Apartment,2,1,1,750,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,5,4
100322863,Sofiya Residences,2017,1350,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,6,3
100322813,The Park Sky Residence @ Bukit Jalil City,2019,2600,Kuala Lumpur - Bukit Jalil,Service Residence,2,0,2,868,Partially Furnished,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,7,2
100322809,Pv9 Residences @ Taman Melati,2022,2000,Kuala Lumpur - Setapak,Service Residence,4,2,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,9,4
